t,Concentracion,EM*,rt,Ab
0,1,m05,a,2.117
0,1,m05,a,2.343
0,1,m05,b,2.267
0,1,m05,b,2.22
0,1,m05,c,2.392
0,1,m05,c,2.463
0,8,e1,a,316
0,8,e1,a,308
0,8,e1,b,0.55
0,8,e1,b,367
0,8,e1,c,602
0,8,e1,c,778
0,8,m05,a,2.182
0,8,m05,a,2.135
0,8,m05,b,2.337
0,8,m05,b,2.291
0,8,m05,c,2.504
0,8,m05,c,2.511
0,1,e1,a,624
0,1,e1,a,294
0,1,e1,b,507
0,1,e1,b,388
0,1,e1,c,606
0,1,e1,c,547
1,1,m05,a,2.121
1,1,m05,a,2.334
1,1,m05,b,2.272
1,1,m05,b,2.234
1,1,m05,c,2.41
1,1,m05,c,2.501
1,8,e1,a,321
1,8,e1,a,301
1,8,e1,b,555
1,8,e1,b,365
1,8,e1,c,627
1,8,e1,c,781
1,8,m05,a,2.175
1,8,m05,a,2.133
1,8,m05,b,2.339
1,8,m05,b,2.311
1,8,m05,c,2.53
1,8,m05,c,2.532
1,1,e1,a,0.62
1,1,e1,a,289
1,1,e1,b,521
1,1,e1,b,0.38
1,1,e1,c,608
1,1,e1,c,545
2,1,m05,a,2.132
2,1,m05,a,2.327
2,1,m05,b,2.272
2,1,m05,b,2.232
2,1,m05,c,2.413
2,1,m05,c,2.482
2,8,e1,a,321
2,8,e1,a,286
2,8,e1,b,569
2,8,e1,b,364
2,8,e1,c,716
2,8,e1,c,753
2,8,m05,a,2.174
2,8,m05,a,2.133
2,8,m05,b,2.32
2,8,m05,b,2.292
2,8,m05,c,2.512
2,8,m05,c,2.521
2,1,e1,a,607
2,1,e1,a,294
2,1,e1,b,487
2,1,e1,b,0.37
2,1,e1,c,0.55
2,1,e1,c,477
3,1,m05,a,2.12
3,1,m05,a,2.333
3,1,m05,b,2.267
3,1,m05,b,2.221
3,1,m05,c,2.414
3,1,m05,c,2.48
3,8,e1,a,334
3,8,e1,a,283
3,8,e1,b,556
3,8,e1,b,368
3,8,e1,c,671
3,8,e1,c,713
3,8,m05,a,2.171
3,8,m05,a,2.126
3,8,m05,b,2.326
3,8,m05,b,2.281
3,8,m05,c,2.506
3,8,m05,c,2.527
3,1,e1,a,545
3,1,e1,a,267
3,1,e1,b,398
3,1,e1,b,327
3,1,e1,c,467
3,1,e1,c,384
