wavelength,0.5_gr_milli-q,1_gr_milli-q,0.5_gr_Methanol,1_gr_ethanol
190,108,168.76,159.3,226.01
205,51.4,131.75,125.86,128.63
220,25.2,91.85,86.35,73.1
235,14.49,74.14,68.38,51.8
250,12.36,65.31,60.35,44.9
265,12.04,58.14,53.18,41.78
280,10.38,53.07,47.94,38.12
295,8.36,48.54,43.45,34.14
310,7.26,44.88,39.61,31.61
325,6.9,42.65,37.23,30.36
340,6.14,40.19,34.84,28.82
355,5.87,38.28,32.76,27.78
370,5.58,36.95,31.39,27.18
385,5.25,35.24,29.45,26.06
400,5.05,33.96,28.09,25.61
415,4.85,32.92,26.97,24.95
430,4.7,31.81,25.88,24.36
445,4.68,30.82,24.87,23.73
460,4.47,29.91,23.89,23.16
475,4.48,29.23,23.22,22.91
490,4.45,28.57,22.72,22.73
505,4.24,28.04,22.02,22.4
520,4.18,27.29,21.18,21.73
535,4.08,26.7,20.72,21.43
550,3.9,25.82,20.08,20.98
565,3.73,25.49,19.52,20.67
580,3.61,24.91,19.15,20.35
595,3.46,24.38,18.79,19.89
610,3.61,24.32,18.49,20.05
625,3.61,23.89,18.34,19.64
640,3.27,23.14,17.67,19.17
655,3.24,22.66,17.17,18.87
670,3.35,22.18,16.86,18.45
685,3.37,22.01,17.09,19.1
700,2.68,21.53,16.33,18.1
715,3.35,21.5,16.11,18.25
730,2.99,20.95,15.98,17.98
745,3.1,20.36,15.64,17.88
760,2.7,20.14,15.12,17.26
850,2.5,18.49,13.71,16.43
